Journal,Division
European Sport Management Quarterly,2区
EUROPEAN URBAN AND REGIONAL STUDIES,2区
European Urology Focus,2区
Eurosurveillance,2区
EvoDevo,2区
EVOLUTION,2区
Evolutionary Applications,2区
EXERCISE AND SPORT SCIENCES REVIEWS,2区
EXPERIMENTAL AND APPLIED ACAROLOGY,2区
EXPERIMENTAL NEUROLOGY,2区
Expert Opinion on Drug Delivery,2区
Expert Opinion on Drug Discovery,2区
EXPERT OPINION ON THERAPEUTIC PATENTS,2区
EXPERT OPINION ON THERAPEUTIC TARGETS,2区
Extractive Industries and Society,2区
FASEB JOURNAL,2区
FEBS Journal,2区
FEMINIST ECONOMICS,2区
Feminist Media Studies,2区
Finance Research Letters,2区
FISH & SHELLFISH IMMUNOLOGY,2区
FISHERIES RESEARCH,2区
Food and Bioprocess Technology,2区
FOOD AND BIOPRODUCTS PROCESSING,2区
Food and Energy Security,2区
Food Engineering Reviews,2区
FOOD REVIEWS INTERNATIONAL,2区
Food Science & Nutrition,2区
Foods,2区
FOOT & ANKLE INTERNATIONAL,2区
Forensic Science International-Genetics,2区
FOREST ECOLOGY AND MANAGEMENT,2区
FORESTRY,2区
Forum of Mathematics Sigma,2区
Fractal and Fractional,2区
FREE RADICAL BIOLOGY AND MEDICINE,2区
French Screen Studies,2区
FRESHWATER BIOLOGY,2区
Frontiers in Cell and Developmental Biology,2区
Frontiers in Cellular and Infection Microbiology,2区
Frontiers in Immunology,2区
Frontiers in Microbiology,2区
Frontiers in Nutrition,2区
Frontiers in Plant Science,2区
Frontiers in Veterinary Science,2区
Frontiers in Zoology,2区
Frontiers of Environmental Science & Engineering,2区
Frontiers of Mechanical Engineering,2区
Frontiers of Physics,2区
FUEL PROCESSING TECHNOLOGY,2区
Fungal Biology Reviews,2区
Future Generation Computer Systems-The International Journal of eScience,2区
Games and Culture,2区
GENERAL HOSPITAL PSYCHIATRY,2区
Genes & Diseases,2区
GENES CHROMOSOMES & CANCER,2区
GENOMICS PROTEOMICS & BIOINFORMATICS,2区
GENOMICS,2区
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,2区
GEOFORUM,2区
Geoheritage,2区
Geomechanics and Geophysics for Geo-Energy and Geo-Resources,2区
GEOMORPHOLOGY,2区
Geophysics,2区
GEORGETOWN LAW JOURNAL,2区
German History,2区
GERONTOLOGIST,2区
GeroScience,2区
GigaScience,2区
GLIA,2区
Global Ecology and Conservation,2区
Global Environmental Politics,2区
Global Finance Journal,2区
Global Health Research and Policy,2区
GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,2区
Globalization and Health,2区
GM Crops & Food-Biotechnology in Agriculture and the Food Chain,2区
GROUP PROCESSES & INTERGROUP RELATIONS,2区
Gynecologic Oncology,2区
HAEMOPHILIA,2区
Harm Reduction Journal,2区
HARVARD LAW REVIEW,2区
Head & Face Medicine,2区
HEADACHE,2区
HEALTH & PLACE,2区
Health and Quality of Life Outcomes,2区
HEALTH EXPECTATIONS,2区
HEALTH PSYCHOLOGY,2区
Health Research Policy and Systems,2区
HEALTH SERVICES RESEARCH,2区
HEARING RESEARCH,2区
HEART FAILURE REVIEWS,2区
HEART,2区
HELICOBACTER,2区
Hepatology Communications,2区
HEREDITY,2区
Hernia,2区
High Voltage,2区
HISTOPATHOLOGY,2区
HISTORIA-ZEITSCHRIFT FUR ALTE GESCHICHTE,2区
HISTORICAL RESEARCH,2区
History and Anthropology,2区
HISTORY AND THEORY,2区
HISTORY OF PHOTOGRAPHY,2区
HISTORY OF POLITICAL ECONOMY,2区
HISTORY OF THE HUMAN SCIENCES,2区
HUMAN BRAIN MAPPING,2区
HUMAN GENETICS,2区
HUMAN MOLECULAR GENETICS,2区
HUMAN MUTATION,2区
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,2区
HUMAN RELATIONS,2区
Human Reproduction Open,2区
Human Resource Management Journal,2区
HUMAN RESOURCE MANAGEMENT,2区
Human Resources for Health,2区
Human Rights Law Review,2区
HUMAN-COMPUTER INTERACTION,2区
Humanities & Social Sciences Communications,2区
HYDROMETALLURGY,2区
ICES JOURNAL OF MARINE SCIENCE,2区
IEEE Antennas and Wireless Propagation Letters,2区
IEEE Circuits and Systems Magazine,2区
IEEE COMMUNICATIONS MAGAZINE,2区
IEEE Computational Intelligence Magazine,2区
IEEE ELECTRON DEVICE LETTERS,2区
IEEE Industrial Electronics Magazine,2区
IEEE Journal of Biomedical and Health Informatics,2区
IEEE Journal of Emerging and Selected Topics in Power Electronics,2区
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2区
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,2区
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2区
IEEE Robotics and Automation Letters,2区
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,2区
IEEE Transactions on Automation Science and Engineering,2区
IEEE Transactions on Biomedical Circuits and Systems,2区
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2区
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,2区
IEEE Transactions on Cloud Computing,2区
IEEE TRANSACTIONS ON COMMUNICATIONS,2区
IEEE Transactions on Computational Imaging,2区
IEEE TRANSACTIONS ON COMPUTERS,2区
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,2区
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,2区
IEEE Transactions on Dependable and Secure Computing,2区
IEEE Transactions on Emerging Topics in Computing,2区
IEEE TRANSACTIONS ON ENERGY CONVERSION,2区
IEEE Transactions on Green Communications and Networking,2区
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,2区
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,2区
IEEE Transactions on Network and Service Management,2区
IEEE Transactions on Network Science and Engineering,2区
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,2区
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,2区
IEEE TRANSACTIONS ON POWER DELIVERY,2区
IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,2区
IEEE TRANSACTIONS ON RELIABILITY,2区
IEEE Transactions on Services Computing,2区
IEEE TRANSACTIONS ON SIGNAL PROCESSING,2区
IEEE Transactions on Terahertz Science and Technology,2区
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,2区
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,2区
IEEE-ACM Transactions on Audio Speech and Language Processing,2区
IMA JOURNAL OF NUMERICAL ANALYSIS,2区
IMF Economic Review,2区
Immunity & Ageing,2区
IMMUNOLOGICAL REVIEWS,2区
INDIANA UNIVERSITY MATHEMATICS JOURNAL,2区
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,2区
INFLAMMATION,2区
INFORMATION & MANAGEMENT,2区
INFORMATION AND SOFTWARE TECHNOLOGY,2区
INFORMATION SYSTEMS JOURNAL,2区
Innovation in Aging,2区
INORGANIC CHEMISTRY,2区
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,2区
Insect Conservation and Diversity,2区
Insects,2区
Insights into Imaging,2区
INSURANCE MATHEMATICS & ECONOMICS,2区
INTEGRATED COMPUTER-AIDED ENGINEERING,2区
INTELLIGENCE,2区
Intensive and Critical Care Nursing,2区
Interdisciplinary Sciences-Computational Life Sciences,2区
INTERMETALLICS,2区
International & Comparative Law Quarterly,2区
International Breastfeeding Journal,2区
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,2区
International Forum of Allergy & Rhinology,2区
INTERNATIONAL HISTORY REVIEW,2区
International Immunopharmacology,2区
International Journal for Equity in Health,2区
INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,2区
International Journal for Parasitology-Drugs and Drug Resistance,2区
INTERNATIONAL JOURNAL FOR PARASITOLOGY,2区
International Journal of Agricultural Sustainability,2区
International Journal of Antimicrobial Agents,2区
International Journal of Bilingual Education and Bilingualism,2区
International Journal of Bilingualism,2区
INTERNATIONAL JOURNAL OF CANCER,2区
International Journal of Cardiology,2区
International Journal of Childrens Spirituality,2区
INTERNATIONAL JOURNAL OF COAL GEOLOGY,2区
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY,2区
INTERNATIONAL JOURNAL OF COMPUTER VISION,2区
International Journal of Consumer Studies,2区
International Journal of Corpus Linguistics,2区
International Journal of Cultural Studies,2区
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,2区
International Journal of Disaster Risk Science,2区
INTERNATIONAL JOURNAL OF DRUG POLICY,2区
INTERNATIONAL JOURNAL OF EATING DISORDERS,2区
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,2区
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,2区
International Journal of Fatigue,2区
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,2区
INTERNATIONAL JOURNAL OF FORECASTING,2区
International Journal of Gastronomy and Food Science,2区
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,2区
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,2区
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,2区
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,2区
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,2区
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,2区
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,2区
International Journal of Intercultural Relations,2区
International Journal of Lean Six Sigma,2区
INTERNATIONAL JOURNAL OF LEXICOGRAPHY,2区
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2区
International Journal of Mental Health Nursing,2区
International Journal of Mental Health Systems,2区
International Journal of Minerals Metallurgy and Materials,2区
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,2区
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,2区
International Journal of Nanomedicine,2区
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,2区
INTERNATIONAL JOURNAL OF OBESITY,2区
INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,2区
International Journal of Pharmaceutics-X,2区
International Journal of Pharmaceutics,2区
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,2区
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2区
International Journal of Qualitative Methods,2区
International Journal of Rail Transportation,2区
INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,2区
INTERNATIONAL JOURNAL OF REFRIGERATION,2区
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,2区
International Journal of Sediment Research,2区
International Journal of Social Robotics,2区
International Journal of Sports Physiology and Performance,2区
International Journal of Stroke,2区
International Journal of Surgery,2区
International Journal of Sustainability in Higher Education,2区
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,2区
International Journal of Transgender Health,2区
INTERNATIONAL MATHEMATICS RESEARCH NOTICES,2区
International Peacekeeping,2区
INTERNATIONAL POLITICAL SCIENCE REVIEW,2区
INTERNATIONAL PSYCHOGERIATRICS,2区
International Review of Economics & Finance,2区
INTERNATIONAL REVIEW OF SOCIAL HISTORY,2区
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,2区
INVERTEBRATE SYSTEMATICS,2区
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,2区
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,2区
IRISH VETERINARY JOURNAL,2区
IRRIGATION SCIENCE,2区
ISA TRANSACTIONS,2区
iScience,2区
ISIS,2区
Japanese Dental Science Review,2区
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,2区
JCMS-Journal of Cinema and Media Studies,2区
JCO Precision Oncology,2区
JMIR Mental Health,2区
JMIR mHealth and uHealth,2区
JMIR Serious Games,2区
Journal de l Ecole Polytechnique-Mathematiques,2区
Journal for General Philosophy of Science,2区
JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,2区
Journal for the Study of the New Testament,2区
JOURNAL OF ADOLESCENCE,2区
Journal of Adolescent Health,2区
Journal of Advances in Modeling Earth Systems,2区
JOURNAL OF AFFECTIVE DISORDERS,2区
Journal of Agrarian Change,2区
JOURNAL OF AGRICULTURAL ECONOMICS,2区
JOURNAL OF AGRONOMY AND CROP SCIENCE,2区
JOURNAL OF AIR TRANSPORT MANAGEMENT,2区
JOURNAL OF ALGEBRA,2区
Journal of Alloys and Compounds,2区
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS,2区
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,2区
JOURNAL OF ANIMAL SCIENCE,2区
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,2区
JOURNAL OF ANXIETY DISORDERS,2区
Journal of Applied Research in Memory and Cognition,2区
Journal of Applied Research on Medicinal and Aromatic Plants,2区
JOURNAL OF APPLIED SPORT PSYCHOLOGY,2区
Journal of Archaeological Science-Reports,2区
JOURNAL OF ARTHROPLASTY,2区
JOURNAL OF BANKING & FINANCE,2区
Journal of Big Data,2区
JOURNAL OF BIOGEOGRAPHY,2区
JOURNAL OF BIOLOGICAL CHEMISTRY,2区
JOURNAL OF BIOMEDICAL INFORMATICS,2区
JOURNAL OF BIOTECHNOLOGY,2区
JOURNAL OF BROADCASTING & ELECTRONIC MEDIA,2区
Journal of Building Engineering,2区
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,2区
JOURNAL OF BUSINESS AND PSYCHOLOGY,2区
JOURNAL OF BUSINESS AND TECHNICAL COMMUNICATION,2区
Journal of Business Logistics,2区
Journal of Cancer Survivorship,2区
JOURNAL OF CARDIAC FAILURE,2区
Journal of Cardiovascular Computed Tomography,2区
JOURNAL OF CAREER ASSESSMENT,2区
Journal of Central South University,2区
Journal of Cereal Science,2区
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,2区
Journal of Chemical Information and Modeling,2区
JOURNAL OF CHEMICAL PHYSICS,2区
Journal of Cheminformatics,2区
JOURNAL OF CHILD LANGUAGE,2区
JOURNAL OF CHROMATOGRAPHY A,2区
JOURNAL OF CLIMATE,2区
Journal of Clinical Anesthesia,2区
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,2区
JOURNAL OF CLINICAL EPIDEMIOLOGY,2区
JOURNAL OF CLINICAL IMMUNOLOGY,2区
JOURNAL OF CLINICAL MICROBIOLOGY,2区
JOURNAL OF CLINICAL PSYCHIATRY,2区
Journal of CO2 Utilization,2区
Journal of Cold War Studies,2区
JOURNAL OF COMPARATIVE ECONOMICS,2区
Journal of Comparative Germanic Linguistics,2区
JOURNAL OF COMPLEXITY,2区
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,2区
Journal of Computational Design and Engineering,2区
JOURNAL OF COMPUTATIONAL PHYSICS,2区
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,2区
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,2区
Journal of Constructional Steel Research,2区
JOURNAL OF CONTEMPORARY ASIA,2区
Journal of Contemporary China,2区
JOURNAL OF CONTEMPORARY HISTORY,2区
Journal of Cosmology and Astroparticle Physics,2区
JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,2区
JOURNAL OF CREATIVE BEHAVIOR,2区
Journal of Crohns & Colitis,2区
JOURNAL OF CULTURAL HERITAGE,2区
Journal of Current Southeast Asian Affairs,2区
Journal of Cystic Fibrosis,2区
JOURNAL OF DENTISTRY,2区
JOURNAL OF ECONOMIC ENTOMOLOGY,2区
JOURNAL OF ECONOMIC GEOGRAPHY,2区
JOURNAL OF ECONOMIC PSYCHOLOGY,2区
JOURNAL OF ECONOMIC SURVEYS,2区
Journal of Educational Change,2区
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,2区
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,2区
JOURNAL OF ENDODONTICS,2区
JOURNAL OF ENDOUROLOGY,2区
Journal of Energy Storage,2区
JOURNAL OF ENGINEERING DESIGN,2区
JOURNAL OF ENGINEERING EDUCATION,2区
JOURNAL OF ENGLISH LINGUISTICS,2区
Journal of Environmental Chemical Engineering,2区
Journal of Environmental Management,2区
Journal of Environmental Sciences,2区
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,2区
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,2区
JOURNAL OF EPIDEMIOLOGY,2区
Journal of Ethnobiology and Ethnomedicine,2区
JOURNAL OF ETHNOPHARMACOLOGY,2区
Journal of Evidence Based Medicine,2区
JOURNAL OF EXPERIMENTAL BIOLOGY,2区
JOURNAL OF EXPERIMENTAL BOTANY,2区
Journal of Experimental Criminology,2区
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,2区
JOURNAL OF FAMILY PSYCHOLOGY,2区
JOURNAL OF FELINE MEDICINE AND SURGERY,2区
Journal of Field Robotics,2区
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,2区
Journal of Financial Stability,2区
JOURNAL OF FLUID MECHANICS,2区
JOURNAL OF FLUIDS AND STRUCTURES,2区
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,2区
JOURNAL OF FOOD ENGINEERING,2区
Journal of Functional Foods,2区
Journal of Fungi,2区
JOURNAL OF GENERAL INTERNAL MEDICINE,2区
JOURNAL OF GEODESY,2区
Journal of Geographical Sciences,2区
JOURNAL OF GEOMETRIC ANALYSIS,2区
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2区
JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,2区
JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,2区
JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,2区
JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,2区
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,2区
Journal of Ginseng Research,2区
Journal of Gynecologic Oncology,2区
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,2区
Journal of Happiness Studies,2区
JOURNAL OF HEALTH ECONOMICS,2区
JOURNAL OF HEALTH POLITICS POLICY AND LAW,2区
JOURNAL OF HEREDITY,2区
JOURNAL OF HISTORICAL GEOGRAPHY,2区
Journal of Hospitality Leisure Sport & Tourism Education,2区
Journal of Hydrology-Regional Studies,2区
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,2区
JOURNAL OF INDIAN PHILOSOPHY,2区
JOURNAL OF INFECTIOUS DISEASES,2区
Journal of Information Technology & Politics,2区
Journal of Informetrics,2区
JOURNAL OF INHERITED METABOLIC DISEASE,2区
JOURNAL OF INORGANIC BIOCHEMISTRY,2区
JOURNAL OF INSECT PHYSIOLOGY,2区
Journal of Institutional Economics,2区
Journal of Integrative Medicine-JIM,2区
Journal of Intellectual Capital,2区
JOURNAL OF INTELLIGENT MANUFACTURING,2区
Journal of Intensive Care,2区
Journal of International Financial Markets Institutions & Money,2区
JOURNAL OF INTERNATIONAL MARKETING,2区
Journal of Intervention and Statebuilding,2区
JOURNAL OF INVESTIGATIVE DERMATOLOGY,2区
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,2区
Journal of Island & Coastal Archaeology,2区
Journal of King Saud University-Computer and Information Sciences,2区
Journal of Knowledge Management,2区
Journal of Law and the Biosciences,2区
JOURNAL OF LEARNING DISABILITIES,2区
JOURNAL OF LINGUISTICS,2区
JOURNAL OF LIPID RESEARCH,2区
JOURNAL OF MAGNETIC RESONANCE IMAGING,2区
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2区
Journal of Management Science and Engineering,2区
Journal of Materials Chemistry A,2区
Journal of Materials Research and Technology-JMR&T,2区
Journal of Mathematics Teacher Education,2区
JOURNAL OF MEDICAL ETHICS,2区
JOURNAL OF MEDICAL GENETICS,2区
JOURNAL OF MEDICAL INTERNET RESEARCH,2区
JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,2区
JOURNAL OF MEDIEVAL HISTORY,2区
Journal of Medieval Iberian Studies,2区
Journal of Mediterranean Archaeology,2区
JOURNAL OF METAMORPHIC GEOLOGY,2区
Journal of Minimally Invasive Gynecology,2区
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,2区
JOURNAL OF MOLECULAR BIOLOGY,2区
Journal of Molecular Cell Biology,2区
JOURNAL OF MOLECULAR LIQUIDS,2区
Journal of Molecular Structure,2区
Journal of Moral Philosophy,2区
JOURNAL OF NATURAL PRODUCTS,2区
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,2区
JOURNAL OF NEURO-ONCOLOGY,2区
Journal of Neurodevelopmental Disorders,2区
JOURNAL OF NEUROLOGY,2区
JOURNAL OF NEUROSCIENCE,2区
JOURNAL OF NEUROSURGERY-SPINE,2区
JOURNAL OF NEUROSURGERY,2区
JOURNAL OF NEUROTRAUMA,2区
Journal of Nonlinear and Variational Analysis,2区
JOURNAL OF NONLINEAR SCIENCE,2区
Journal of Nuclear Materials,2区
Journal of Nursing Management,2区
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,2区
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,2区
Journal of Oceanology and Limnology,2区
JOURNAL OF OPERATIONS MANAGEMENT,2区
Journal of Optical Communications and Networking,2区
Journal of Oral Microbiology,2区
JOURNAL OF ORGANIC CHEMISTRY,2区
Journal of Orthopaedics and Traumatology,2区
JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,2区
JOURNAL OF PAIN,2区
Journal of Palaeogeography-English,2区
Journal of Pathology Clinical Research,2区
JOURNAL OF PATHOLOGY,2区
Journal of Pediatric Surgery,2区
JOURNAL OF PEDIATRICS,2区
JOURNAL OF PERIODONTOLOGY,2区
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,2区
JOURNAL OF PETROLOGY,2区
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,2区
JOURNAL OF PHYSICAL CHEMISTRY A,2区
JOURNAL OF PHYSICAL CHEMISTRY B,2区
Journal of Physical Chemistry Letters,2区
JOURNAL OF PHYSIOLOGY-LONDON,2区
JOURNAL OF PLANNING LITERATURE,2区
JOURNAL OF POLICY MODELING,2区
Journal of Politeness Research-Language Behaviour Culture,2区
JOURNAL OF POPULATION ECONOMICS,2区
Journal of Positive Psychology,2区
Journal of Product and Brand Management,2区
JOURNAL OF PROTEOME RESEARCH,2区
JOURNAL OF PSYCHIATRIC RESEARCH,2区
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,2区
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,2区
Journal of Purchasing and Supply Management,2区
JOURNAL OF QUALITY TECHNOLOGY,2区
JOURNAL OF RECONSTRUCTIVE MICROSURGERY,2区
JOURNAL OF REFRACTIVE SURGERY,2区
Journal of Research in Interactive Marketing,2区
JOURNAL OF RESEARCH IN PERSONALITY,2区
JOURNAL OF RESEARCH ON ADOLESCENCE,2区
Journal of Roman Archaeology,2区
JOURNAL OF SAFETY RESEARCH,2区
Journal of Saudi Chemical Society,2区
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,2区
JOURNAL OF SCIENTIFIC COMPUTING,2区
JOURNAL OF SERVICE RESEARCH,2区
JOURNAL OF SEX RESEARCH,2区
Journal of Sexual Medicine,2区
JOURNAL OF SHOULDER AND ELBOW SURGERY,2区
JOURNAL OF SMALL ANIMAL PRACTICE,2区
JOURNAL OF SMALL BUSINESS MANAGEMENT,2区
JOURNAL OF SOCIAL HISTORY,2区
JOURNAL OF SOUND AND VIBRATION,2区
JOURNAL OF SOUTHERN HISTORY,2区
Journal of Space Weather and Space Climate,2区
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,2区
JOURNAL OF SPORT MANAGEMENT,2区
Journal of Statistical Software,2区
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,2区
JOURNAL OF STORED PRODUCTS RESEARCH,2区
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,2区
Journal of Supply Chain Management,2区
Journal of Sustainable Tourism,2区
JOURNAL OF SYSTEMS AND SOFTWARE,2区
JOURNAL OF TECHNOLOGY TRANSFER,2区
JOURNAL OF THE ACM,2区
Journal of the American College of Radiology,2区
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,2区
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,2区
Journal of the American Medical Directors Association,2区
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2区
Journal of the American Philosophical Association,2区
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,2区
JOURNAL OF THE BRITISH SOCIETY FOR PHENOMENOLOGY,2区
Journal of the Civil War Era,2区
JOURNAL OF THE ENERGY INSTITUTE,2区
JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,2区
Journal of the European Ceramic Society,2区
Journal of the European Economic Association,2区
JOURNAL OF THE HISTORY OF IDEAS,2区
Journal of the Institute of Mathematics of Jussieu,2区
Journal of the International Society of Sports Nutrition,2区
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,2区
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,2区
Journal of the National Comprehensive Cancer Network,2区
Journal of the Royal Society Interface,2区
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,2区
JOURNAL OF THE SOCIETY OF ARCHITECTURAL HISTORIANS,2区
JOURNAL OF THE WARBURG AND COURTAULD INSTITUTES,2区
JOURNAL OF THERMAL BIOLOGY,2区
Journal of Topology,2区
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,2区
Journal of Traffic and Transportation Engineering-English Edition,2区
Journal of Translational Internal Medicine,2区
Journal of Translational Medicine,2区
Journal of Trauma and Acute Care Surgery,2区
JOURNAL OF TRAVEL MEDICINE,2区
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,2区
Journal of Urban Management,2区
JOURNAL OF UROLOGY,2区
Journal of Vascular Surgery-Venous and Lymphatic Disorders,2区
JOURNAL OF VASCULAR SURGERY,2区
Journal of Veterinary Cardiology,2区
JOURNAL OF VETERINARY INTERNAL MEDICINE,2区
Journal of Virology,2区
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,2区
JOURNAL OF WORLD HISTORY,2区
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,2区
Journalism Practice,2区
Journalism,2区
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,2区
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,2区
Kantian Review,2区
Kidney International Reports,2区
Kidney International Supplements,2区
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,2区
KONSTHISTORISK TIDSKRIFT,2区
KOREAN JOURNAL OF RADIOLOGY,2区
LAB ON A CHIP,2区
LABORATORY INVESTIGATION,2区
Laboratory Phonology,2区
LABOUR ECONOMICS,2区
LAND DEGRADATION & DEVELOPMENT,2区
LANDSCAPE ECOLOGY,2区
Landslides,2区
LANGMUIR,2区
LANGUAGE & COMMUNICATION,2区
Language and Education,2区
LANGUAGE AND SPEECH,2区
Language Awareness,2区
